GEN,ENV,YEAR,DTA,DTS
GK 3203,1,1,108.7,110.3
GK 3203,2,1,108.7,115.3
GK 3203,3,1,108.7,108
GK 3203,4,1,108.7,121
GK 3226,1,1,110,110.7
GK 3226,2,1,114.3,115.7
GK 3226,3,1,107,109.3
GK 3226,4,1,117.3,121
GK 3155,1,1,109,107
GK 3155,2,1,114.7,116.3
GK 3155,3,1,103.3,104.7
GK 3155,4,1,114.3,121
GK 3254,1,1,108.3,109
GK 3254,2,1,114,112
GK 3254,3,1,102.3,106.3
GK 3254,4,1,117,121
GK 3255,1,1,109,110.7
GK 3255,2,1,115.3,114.3
GK 3255,3,1,103.3,108.3
GK 3255,4,1,116,121
RMH 9999,1,1,108.7,109
RMH 9999,2,1,113.3,114.7
RMH 9999,3,1,102.3,103.3
RMH 9999,4,1,114.7,121
RMH 666,1,1,110.7,111.7
RMH 666,2,1,112.3,115
RMH 666,3,1,104.7,109
RMH 666,4,1,118.7,121
RMH 1899 Super,1,1,109,107
RMH 1899 Super,2,1,113,115.3
RMH 1899 Super,3,1,101.3,105
RMH 1899 Super,4,1,116.3,121
RMH 567,1,1,109.7,110.7
RMH 567,2,1,113.7,116
RMH 567,3,1,103.7,109.3
RMH 567,4,1,116.3,121
RMH 1818,1,1,109.3,108.7
RMH 1818,2,1,114,115
RMH 1818,3,1,101,105.3
RMH 1818,4,1,117.3,121
TMMH 812,1,1,110.3,112.3
TMMH 812,2,1,113.3,115.3
TMMH 812,3,1,106,109.7
TMMH 812,4,1,118.3,121
TMMH 846,1,1,109.7,111.3
TMMH 846,2,1,113.7,116.7
TMMH 846,3,1,102,107.3
TMMH 846,4,1,119.7,121
Delta 3333,1,1,108.7,109.7
Delta 3333,2,1,112.3,109.3
Delta 3333,3,1,103,114.7
Delta 3333,4,1,114.7,106.7
Delta 5555,1,1,107.7,109
Delta 5555,2,1,111.3,113.7
Delta 5555,3,1,103,106
Delta 5555,4,1,116,121
Delta 2222,1,1,110.7,112.7
Delta 2222,2,1,114,116.3
Delta 2222,3,1,105.3,110
Delta 2222,4,1,116.3,121
Delta 9999,1,1,107.3,108
Delta 9999,2,1,110.3,113.3
Delta 9999,3,1,102.7,106.7
Delta 9999,4,1,116.3,121
Delta 90V90,1,1,110,112
Delta 90V90,2,1,114,116.7
Delta 90V90,3,1,108,113.7
Delta 90V90,4,1,117.3,121
MM 9488,1,1,110.7,112
MM 9488,2,1,112.7,114.7
MM 9488,3,1,107.3,112
MM 9488,4,1,115.3,121
MM 9440,1,1,110.7,112
MM 9440,2,1,110.3,112.7
MM 9440,3,1,105,108.7
MM 9440,4,1,115.3,121
MM 9442,1,1,112,112.7
MM 9442,2,1,115.3,117.3
MM 9442,3,1,105.3,109.3
MM 9442,4,1,116,121
Hreo no. 1,1,1,110,109.7
Hreo no. 1,2,1,114.3,116.3
Hreo no. 1,3,1,105.3,108.7
Hreo no. 1,4,1,118,121
Shaan 111,1,1,110,111.3
Shaan 111,2,1,113.7,115
Shaan 111,3,1,104,109.3
Shaan 111,4,1,113.7,121
Maan 131,1,1,109,109
Maan 131,2,1,113,114.3
Maan 131,3,1,104,106.3
Maan 131,4,1,115.7,121
Uttam 121,1,1,111.3,112.7
Uttam 121,2,1,115.7,117.3
Uttam 121,3,1,108.7,112.3
Uttam 121,4,1,119,121
Sweety 1,1,1,110.7,112.3
Sweety 1,2,1,115.7,117.7
Sweety 1,3,1,108.7,113.3
Sweety 1,4,1,115.7,121
ADV 756,1,1,115.7,117.7
ADV 756,2,1,118,117.7
ADV 756,3,1,112.3,115.3
ADV 756,4,1,120.7,121
NK 7884,1,1,109.7,110.7
NK 7884,2,1,113.3,116.3
NK 7884,3,1,105,107.7
NK 7884,4,1,116,121
NK 7660,1,1,109.7,111
NK 7660,2,1,113,115.7
NK 7660,3,1,104,108
NK 7660,4,1,116,121
NK 6702,1,1,109.3,110.7
NK 6702,2,1,111.3,112.7
NK 6702,3,1,104.3,107.7
NK 6702,4,1,116.7,121
NK 6607,1,1,111,111.7
NK 6607,2,1,113.3,115.7
NK 6607,3,1,105.7,110
NK 6607,4,1,117.7,121
NK 7720,1,1,110,111
NK 7720,2,1,113.3,115
NK 7720,3,1,105,110.3
NK 7720,4,1,113.7,121
MM 2929,1,1,113.7,115.7
MM 2929,2,1,116.3,118.3
MM 2929,3,1,108,109.7
MM 2929,4,1,119.3,121
MM 2033,1,1,114.7,116.7
MM 2033,2,1,116.7,118.3
MM 2033,3,1,110.3,114.3
MM 2033,4,1,119.3,121
MM 2424,1,1,113,114.3
MM 2424,2,1,115.3,116.3
MM 2424,3,1,102.7,106.7
MM 2424,4,1,115.7,121
MM 2050,1,1,109.3,109
MM 2050,2,1,113.3,114
MM 2050,3,1,102.3,103
MM 2050,4,1,115.3,121
MM 2122,1,1,113.3,115.3
MM 2122,2,1,117,117
MM 2122,3,1,110.3,113.3
MM 2122,4,1,118.7,121
RML95/RML96,1,1,112,113.3
RML95/RML96,2,1,114.7,117.3
RML95/RML96,3,1,109.3,114
RML95/RML96,4,1,117.3,121
RH 10,1,1,110,112
RH 10,2,1,115.7,116.3
RH 10,3,1,105,109
RH 10,4,1,117.7,121
TX 369,1,1,112,113.3
TX 369,2,1,113.7,115.3
TX 369,3,1,106,109.7
TX 369,4,1,116,121
Rajkumar,1,1,110,110
Rajkumar,2,1,112,113
Rajkumar,3,1,103,107
Rajkumar,4,1,114.3,121
GK 3203,1,2,113,115
GK 3203,2,2,107,110
GK 3203,3,2,105,108
GK 3203,4,2,119,122
GK 3226,1,2,112,113
GK 3226,2,2,110,112
GK 3226,3,2,110,113
GK 3226,4,2,119,122
GK 3155,1,2,111,114
GK 3155,2,2,109,110
GK 3155,3,2,110,114
GK 3155,4,2,122,124
GK 3254,1,2,115,113
GK 3254,2,2,114,118
GK 3254,3,2,108,111
GK 3254,4,2,125,127
GK 3255,1,2,112,113
GK 3255,2,2,109,111
GK 3255,3,2,104,108
GK 3255,4,2,122,124
RMH 9999,1,2,110,111
RMH 9999,2,2,108,110
RMH 9999,3,2,105,108
RMH 9999,4,2,117,119
RMH 666,1,2,111,113
RMH 666,2,2,109,112
RMH 666,3,2,103,107
RMH 666,4,2,120,122
RMH 1899 Super,1,2,112,114
RMH 1899 Super,2,2,107,109
RMH 1899 Super,3,2,105,108
RMH 1899 Super,4,2,121,123
RMH 567,1,2,110,112
RMH 567,2,2,109,112
RMH 567,3,2,105,107
RMH 567,4,2,119,121
RMH 1818,1,2,107,110
RMH 1818,2,2,106,109
RMH 1818,3,2,103,106
RMH 1818,4,2,121,123
TMMH 812,1,2,113,115
TMMH 812,2,2,107,109
TMMH 812,3,2,107,111
TMMH 812,4,2,122,126
TMMH 846,1,2,114,117
TMMH 846,2,2,109,113
TMMH 846,3,2,107,113
TMMH 846,4,2,122,124
Delta 3333,1,2,111,113
Delta 3333,2,2,108,111
Delta 3333,3,2,105,108
Delta 3333,4,2,120,122
Delta 5555,1,2,108,112
Delta 5555,2,2,107,109
Delta 5555,3,2,104,107
Delta 5555,4,2,117,122
Delta 2222,1,2,111,113
Delta 2222,2,2,107,110
Delta 2222,3,2,105,110
Delta 2222,4,2,120,122
Delta 9999,1,2,107,109
Delta 9999,2,2,106,108
Delta 9999,3,2,101,104
Delta 9999,4,2,119,121
Delta 90V90,1,2,113,115
Delta 90V90,2,2,112,116
Delta 90V90,3,2,105,108
Delta 90V90,4,2,121,124
MM 9488,1,2,112,114
MM 9488,2,2,109,111
MM 9488,3,2,108,111
MM 9488,4,2,119,122
MM 9440,1,2,113,114
MM 9440,2,2,111,115
MM 9440,3,2,102,106
MM 9440,4,2,121,125
MM 9442,1,2,112,113
MM 9442,2,2,111,114
MM 9442,3,2,107,111
MM 9442,4,2,119,121
Hreo no. 1,1,2,106,109
Hreo no. 1,2,2,106,108
Hreo no. 1,3,2,106,110
Hreo no. 1,4,2,117,120
Shaan 111,1,2,111,113
Shaan 111,2,2,111,113
Shaan 111,3,2,101,106
Shaan 111,4,2,123,126
Maan 131,1,2,110,112
Maan 131,2,2,108,110
Maan 131,3,2,106,109
Maan 131,4,2,118,120
Uttam 121,1,2,111,114
Uttam 121,2,2,106,109
Uttam 121,3,2,104,106
Uttam 121,4,2,119,121
Sweety 1,1,2,112,114
Sweety 1,2,2,110,114
Sweety 1,3,2,105,109
Sweety 1,4,2,119,122
ADV 756,1,2,116,117
ADV 756,2,2,119,122
ADV 756,3,2,110,113
ADV 756,4,2,125,128
NK 7884,1,2,108,110
NK 7884,2,2,107,110
NK 7884,3,2,101,104
NK 7884,4,2,119,122
NK 7660,1,2,112,114
NK 7660,2,2,108,110
NK 7660,3,2,105,109
NK 7660,4,2,120,123
NK 6702,1,2,110,111
NK 6702,2,2,107,109
NK 6702,3,2,101,105
NK 6702,4,2,119,121
NK 6607,1,2,112,114
NK 6607,2,2,108,111
NK 6607,3,2,103,106
NK 6607,4,2,122,126
NK 7720,1,2,113,115
NK 7720,2,2,108,110
NK 7720,3,2,105,108
NK 7720,4,2,118,122
MM 2929,1,2,112,113
MM 2929,2,2,111,114
MM 2929,3,2,103,107
MM 2929,4,2,122,124
MM 2033,1,2,111,113
MM 2033,2,2,110,113
MM 2033,3,2,103,106
MM 2033,4,2,118,121
MM 2424,1,2,110,112
MM 2424,2,2,108,110
MM 2424,3,2,105,109
MM 2424,4,2,118,121
MM 2050,1,2,111,113
MM 2050,2,2,108,111
MM 2050,3,2,104,107
MM 2050,4,2,117,121
MM 2122,1,2,111,112
MM 2122,2,2,108,110
MM 2122,3,2,103,106
MM 2122,4,2,118,120
RML95/RML96,1,2,115,114
RML95/RML96,2,2,111,115
RML95/RML96,3,2,107,111
RML95/RML96,4,2,122,124
RH 10,1,2,113,113
RH 10,2,2,110,113
RH 10,3,2,106,109
RH 10,4,2,122,123
TX 369,1,2,114,116
TX 369,2,2,107,110
TX 369,3,2,104,108
TX 369,4,2,121,123
Rajkumar,1,2,109,112
Rajkumar,2,2,107,109
Rajkumar,3,2,105,109
Rajkumar,4,2,118,121
